t=2026-07-31T09:49:03+0600 lvl=info msg="no configuration paths supplied"
t=2026-07-31T09:49:03+0600 lvl=info msg="using configuration at default config path" path="/Users/ashikkhan/Library/Application Support/ngrok/ngrok.yml"
t=2026-07-31T09:49:03+0600 lvl=info msg="open config file" path="/Users/ashikkhan/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-07-31T11:14:43+0600 lvl=info msg="join connections" obj=join id=60a650c1ba55 l=127.0.0.1:3000 r=103.130.11.34:55423
t=2026-07-31T11:14:43+0600 lvl=info msg="join connections" obj=join id=1e0d368a572f l=127.0.0.1:3000 r=103.130.11.34:55423
t=2026-07-31T11:14:43+0600 lvl=info msg="join connections" obj=join id=aafeeb0d6f67 l=127.0.0.1:3000 r=103.130.11.34:55423
t=2026-07-31T11:14:44+0600 lvl=info msg="join connections" obj=join id=b92cfc809e4e l=127.0.0.1:3000 r=103.130.11.34:55436
t=2026-07-31T11:14:44+0600 lvl=info msg="join connections" obj=join id=f96820e09a57 l=127.0.0.1:3000 r=103.130.11.34:55436
t=2026-07-31T11:14:44+0600 lvl=info msg="join connections" obj=join id=777ad6bf3991 l=127.0.0.1:3000 r=103.130.11.34:55436
t=2026-07-31T11:14:44+0600 lvl=info msg="join connections" obj=join id=6208e63099ae l=127.0.0.1:3000 r=103.130.11.34:55436
t=2026-07-31T11:14:44+0600 lvl=info msg="join connections" obj=join id=869deb0d370f l=127.0.0.1:3000 r=103.130.11.34:55423
t=2026-07-31T11:14:44+0600 lvl=info msg="join connections" obj=join id=4094b3b0dd4d l=127.0.0.1:3000 r=103.130.11.34:55423
t=2026-07-31T11:14:44+0600 lvl=info msg="join connections" obj=join id=3b34fcaf48ac l=127.0.0.1:3000 r=103.130.11.34:55423
t=2026-07-31T11:14:45+0600 lvl=info msg="join connections" obj=join id=6cface79ccef l=127.0.0.1:3000 r=103.130.11.34:55436
t=2026-07-31T11:14:45+0600 lvl=info msg="join connections" obj=join id=3b9dc182618a l=127.0.0.1:3000 r=103.130.11.34:55436
t=2026-07-31T11:14:45+0600 lvl=info msg="join connections" obj=join id=93134f2d7d9f l=127.0.0.1:3000 r=103.130.11.34:55436
t=2026-07-31T11:14:46+0600 lvl=info msg="join connections" obj=join id=a33fb3a2cf1c l=127.0.0.1:3000 r=103.130.11.34:55423
t=2026-07-31T11:14:47+0600 lvl=info msg="join connections" obj=join id=47f71fe9eacd l=127.0.0.1:3000 r=103.130.11.34:55423
t=2026-07-31T11:14:47+0600 lvl=info msg="join connections" obj=join id=bf60dfa207f6 l=127.0.0.1:3000 r=103.130.11.34:55436
t=2026-07-31T11:14:47+0600 lvl=info msg="join connections" obj=join id=222e1c67595f l=127.0.0.1:3000 r=103.130.11.34:55423
t=2026-07-31T11:14:47+0600 lvl=info msg="join connections" obj=join id=ae6615a2f198 l=127.0.0.1:3000 r=103.130.11.34:55423
t=2026-07-31T11:14:47+0600 lvl=info msg="join connections" obj=join id=efe053fc11db l=127.0.0.1:3000 r=103.130.11.34:55423
t=2026-07-31T11:14:47+0600 lvl=info msg="join connections" obj=join id=d0f926902be5 l=127.0.0.1:3000 r=103.130.11.34:55423
t=2026-07-31T11:14:47+0600 lvl=info msg="join connections" obj=join id=5455754ee189 l=127.0.0.1:3000 r=103.130.11.34:55423
t=2026-07-31T11:14:47+0600 lvl=info msg="join connections" obj=join id=18cde2e5d39a l=127.0.0.1:3000 r=103.130.11.34:55423
t=2026-07-31T11:14:47+0600 lvl=info msg="join connections" obj=join id=3cf6353f93c2 l=127.0.0.1:3000 r=103.130.11.34:55423
t=2026-07-31T11:14:47+0600 lvl=info msg="join connections" obj=join id=c16609e91f2a l=127.0.0.1:3000 r=103.130.11.34:55423
t=2026-07-31T11:14:47+0600 lvl=info msg="join connections" obj=join id=11bd05ba175b l=127.0.0.1:3000 r=103.130.11.34:55423
t=2026-07-31T11:14:48+0600 lvl=info msg="join connections" obj=join id=5f11c2bda568 l=127.0.0.1:3000 r=103.130.11.34:55423
t=2026-07-31T11:14:49+0600 lvl=info msg="join connections" obj=join id=97ae1fbdacb0 l=127.0.0.1:3000 r=103.130.11.34:55436
t=2026-07-31T11:14:49+0600 lvl=info msg="join connections" obj=join id=03366c0889fa l=127.0.0.1:3000 r=103.130.11.34:55436
t=2026-07-31T11:15:02+0600 lvl=info msg="join connections" obj=join id=647b2359e510 l=127.0.0.1:3000 r=103.130.11.34:55423
t=2026-07-31T11:15:02+0600 lvl=info msg="join connections" obj=join id=be3d3ea14540 l=127.0.0.1:3000 r=103.130.11.34:55423
t=2026-07-31T11:15:02+0600 lvl=info msg="join connections" obj=join id=44caf00704b2 l=127.0.0.1:3000 r=103.130.11.34:55423
t=2026-07-31T11:15:02+0600 lvl=info msg="join connections" obj=join id=67260eb30eee l=127.0.0.1:3000 r=103.130.11.34:55423
t=2026-07-31T11:15:02+0600 lvl=info msg="join connections" obj=join id=18510ec12dc4 l=127.0.0.1:3000 r=103.130.11.34:55423
t=2026-07-31T11:15:02+0600 lvl=info msg="join connections" obj=join id=ba603d40fedd l=127.0.0.1:3000 r=103.130.11.34:55423
t=2026-07-31T11:15:02+0600 lvl=info msg="join connections" obj=join id=17dec4766d26 l=127.0.0.1:3000 r=103.130.11.34:55423
t=2026-07-31T11:15:02+0600 lvl=info msg="join connections" obj=join id=237096b7b47e l=127.0.0.1:3000 r=103.130.11.34:55423
t=2026-07-31T11:15:03+0600 lvl=info msg="join connections" obj=join id=7876a0d5c558 l=127.0.0.1:3000 r=103.130.11.34:55436
t=2026-07-31T11:15:03+0600 lvl=info msg="join connections" obj=join id=e11ad9159877 l=127.0.0.1:3000 r=103.130.11.34:55436
t=2026-07-31T11:15:03+0600 lvl=info msg="join connections" obj=join id=901724a7b950 l=127.0.0.1:3000 r=103.130.11.34:55436
t=2026-07-31T11:15:03+0600 lvl=info msg="join connections" obj=join id=40362485d21e l=127.0.0.1:3000 r=103.130.11.34:55436
t=2026-07-31T11:15:03+0600 lvl=info msg="join connections" obj=join id=78c3c5a3661d l=127.0.0.1:3000 r=103.130.11.34:55436
t=2026-07-31T11:15:03+0600 lvl=info msg="join connections" obj=join id=5f091ae27e73 l=127.0.0.1:3000 r=103.130.11.34:55436
t=2026-07-31T11:15:03+0600 lvl=info msg="join connections" obj=join id=27be5ebbf0b6 l=127.0.0.1:3000 r=103.130.11.34:55423
